region,count,mean_magnitude,mean_depth,max_magnitude
BONIN ISLANDS,2,4.15,433.0,4.2
EASTERN HONSHU,5,3.22,40.0,3.8
HOKKAIDO,4,3.725,72.5,4.2
IZU ISLANDS,2,4.3,155.0,4.6
KYUSHU,6,3.4,21.666666666666668,4.1
NEAR EAST COAST OF HONSHU,23,4.073913043478261,50.391304347826086,6.0
NEAR S. COAST OF HONSHU,5,3.7,54.0,4.5
NEAR WEST COAST OF HONSHU,2,4.0,95.0,4.4
OFF EAST COAST OF HONSHU,14,4.628571428571428,9.071428571428571,4.9
RYUKYU ISLANDS,31,3.574193548387097,11.709677419354838,5.3
SHIKOKU,2,3.3,40.0,3.5
SOUTHWESTERN RYUKYU ISL.,1,4.5,55.0,4.5
WESTERN HONSHU,3,3.1666666666666665,13.333333333333334,3.3
